source,target,relationship,source_type,target_type
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,City’s Drug,has companiesMentioned,Pages,companiesMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,II,has title,Pages,title
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,GX270-XPPRO,has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,"Owen, Christopher",has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,CITY OF CHICAGO,has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has parent,Pages,parent
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,f7da4c6a315ba41e351ec7b8986989107c077208,has pdfHash,Pages,pdfHash
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,DRAFT DOT Drug and Alcohol Policy 9.23.19.doc,has fileName,Pages,fileName
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,114688,has fileSize,Pages,fileSize
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,application/vnd.ms-word,has mimeType,Pages,mimeType
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has ancestors,Pages,parent
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,Microsoft Office Word,has generator,Pages,generator
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,2019-09-23T15:42:59,has modifiedAt,Pages,modifiedAt
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,81ef65bfb32c7fe2d143725995b733e01413adcf,has contentHash,Pages,contentHash
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,a. Random,has peopleMentioned,Pages,peopleMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,Scope III,has peopleMentioned,Pages,peopleMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,City’s Drug,has companiesMentioned,Pages,companiesMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,II,has title,Pages,title
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,GX270-XPPRO,has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,"Owen, Christopher",has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,CITY OF CHICAGO,has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has parent,Pages,parent
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,f7da4c6a315ba41e351ec7b8986989107c077208,has pdfHash,Pages,pdfHash
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,DRAFT DOT Drug and Alcohol Policy 9.23.19.doc,has fileName,Pages,fileName
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,114688,has fileSize,Pages,fileSize
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,application/vnd.ms-word,has mimeType,Pages,mimeType
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has ancestors,Pages,parent
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,Microsoft Office Word,has generator,Pages,generator
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,2019-09-23T15:42:59,has modifiedAt,Pages,modifiedAt
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,81ef65bfb32c7fe2d143725995b733e01413adcf,has contentHash,Pages,contentHash
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,a. Random,has peopleMentioned,Pages,peopleMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,Scope III,has peopleMentioned,Pages,peopleMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,City’s Drug,has companiesMentioned,Pages,companiesMentioned
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,II,has title,Pages,title
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,GX270-XPPRO,has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,"Owen, Christopher",has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,CITY OF CHICAGO,has author,Pages,author
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has parent,Pages,parent
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,f7da4c6a315ba41e351ec7b8986989107c077208,has pdfHash,Pages,pdfHash
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,DRAFT DOT Drug and Alcohol Policy 9.23.19.doc,has fileName,Pages,fileName
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,114688,has fileSize,Pages,fileSize
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,application/vnd.ms-word,has mimeType,Pages,mimeType
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has ancestors,Pages,parent
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,Microsoft Office Word,has generator,Pages,generator
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,2019-09-23T15:42:59,has modifiedAt,Pages,modifiedAt
cb8ad1a073d53f31900a68cc61472af86db0a415.994896018041c09e16cbb0529fa526816ab46450,81ef65bfb32c7fe2d143725995b733e01413adcf,has contentHash,Pages,contentHash
fd6b71860ba60152afc84a1c18b37b057a47a895.5ace953569299595c65d51ed4d9e63f61127c560,1161197.fbbb699850e25057db235f2e5d1cf749169b502e,has parent,Pages,parent
fd6b71860ba60152afc84a1c18b37b057a47a895.5ace953569299595c65d51ed4d9e63f61127c560,CITY WIDE ATTENDANCE.pdf,has fileName,Pages,fileName
fd6b71860ba60152afc84a1c18b37b057a47a895.5ace953569299595c65d51ed4d9e63f61127c560,94758,has fileSize,Pages,fileSize
fd6b71860ba60152afc84a1c18b37b057a47a895.5ace953569299595c65d51ed4d9e63f61127c560,application/pdf,has mimeType,Pages,mimeType
fd6b71860ba60152afc84a1c18b37b057a47a895.5ace953569299595c65d51ed4d9e63f61127c560,1161197.fbbb699850e25057db235f2e5d1cf749169b502e,has ancestors,Pages,parent
fd6b71860ba60152afc84a1c18b37b057a47a895.5ace953569299595c65d51ed4d9e63f61127c560,a6bd2eb5d74fcb35a8a12b42167b4aab0059bb00,has contentHash,Pages,contentHash
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,pgillespie@lanermuchin.com,has emailMentioned,Pages,emailMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Jon Caulkins,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,smoking v. vaping v,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Robert S. Goldsmith,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Olaf H. Drummer,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Jennan A. Phillips,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Marijuana Nat’l,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Richard P. Compton & Amy Berning,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Robert L. DuPont,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,James v. City,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Peter J. Gillespie,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Laner Muchin,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Law Webinar,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,ADA Family,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Pete Gillespie,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Demeanor Carelessness,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Kevin Hill,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Peter Gillespie,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Carnegie Mellon University,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Couper & Logan,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Amy Berning & Dereece D,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Fiona J. Couper & Barry K. Logan,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Drugs and Human Performance Fact Sheets,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,"ior & Health, Inc",has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,"Laner Muchin, Ltd",has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,SciTech Lawyer,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,American Bar Association,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Illinois DOL,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,General Assembly,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Emerald Steel,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,State Medical,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,"Emerald Steel Fabricators, Inc. v. Bureau of Labor & Indus",has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has parent,Pages,parent
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Staying Ahead of the Curve On Cannabis Legalization in Illinois.pdf,has fileName,Pages,fileName
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,2978773,has fileSize,Pages,fileSize
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,application/pdf,has mimeType,Pages,mimeType
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has ancestors,Pages,parent
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,e16386108d9f25b22a0ee5e5901a4e1795432300,has contentHash,Pages,contentHash
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,pgillespie@lanermuchin.com,has emailMentioned,Pages,emailMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Jon Caulkins,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,smoking v. vaping v,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Robert S. Goldsmith,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Olaf H. Drummer,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Jennan A. Phillips,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Marijuana Nat’l,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Richard P. Compton & Amy Berning,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Robert L. DuPont,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,James v. City,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Peter J. Gillespie,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Laner Muchin,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Law Webinar,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,ADA Family,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Pete Gillespie,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Demeanor Carelessness,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Kevin Hill,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Peter Gillespie,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Carnegie Mellon University,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Couper & Logan,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Amy Berning & Dereece D,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Fiona J. Couper & Barry K. Logan,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Drugs and Human Performance Fact Sheets,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,"ior & Health, Inc",has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,"Laner Muchin, Ltd",has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,SciTech Lawyer,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,American Bar Association,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Illinois DOL,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,General Assembly,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Emerald Steel,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,State Medical,has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,"Emerald Steel Fabricators, Inc. v. Bureau of Labor & Indus",has companiesMentioned,Pages,companiesMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has parent,Pages,parent
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Staying Ahead of the Curve On Cannabis Legalization in Illinois.pdf,has fileName,Pages,fileName
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,2978773,has fileSize,Pages,fileSize
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,application/pdf,has mimeType,Pages,mimeType
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,1161163.98f6ce109dfb31c3dcdb52e9c72e045099164464,has ancestors,Pages,parent
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,e16386108d9f25b22a0ee5e5901a4e1795432300,has contentHash,Pages,contentHash
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,pgillespie@lanermuchin.com,has emailMentioned,Pages,emailMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,Jon Caulkins,has peopleMentioned,Pages,peopleMentioned
59a1e7e944c3f0f87a075680e8a23b7108abffea.e42f81de4d7aecc917353f384a4d763f57fb355b,smoking v. vaping v,has peopleMentioned,Pages,peopleMentioned
